,id_prenda,article_id,product_code,prod_name,product_group_name,detail_desc,texto_prenda,fit,estructura,volumen,sleeve,neckline,material,neckline_effects
10263,287,539467002,539467,W T Musas blouse EQ,upper body,straight cut v neck blouse in a cotton weave with large frills at the top and concealed buttons down the front long wide sleeves with pleats and buttons at the cuffs,greyblouse unknown straight cut v neck blouse in a cotton weave with large frills at the top and concealed buttons down the front long wide sleeves with pleats and buttons at the cuffs,amplio,media,alto,voluminosa,v,cotton,alarga
10815,288,543287005,543287,Valeria,upper body,straight cut blouse in a cotton weave with a collar and concealed buttons down the front dropped shoulders and long wide sleeves with buttoned cuffs,blueblouse blouses straight cut blouse in a cotton weave with a collar and concealed buttons down the front dropped shoulders and long wide sleeves with buttoned cuffs,amplio,media,alto,voluminosa,alto,cotton,cerrado
10821,289,543352005,543352,Jules,upper body,collarless satin blouse with concealed buttons down the front long sleeves with wide buttoned cuffs and a rounded hem slightly longer at the back,brownblouse blouses collarless satin blouse with concealed buttons down the front long sleeves with wide buttoned cuffs and a rounded hem slightly longer at the back,amplio,fluida,alto,larga,unknown,delicado,unknown
10822,290,543352006,543352,Jules,upper body,collarless satin blouse with concealed buttons down the front long sleeves with wide buttoned cuffs and a rounded hem slightly longer at the back,greenblouse blouses collarless satin blouse with concealed buttons down the front long sleeves with wide buttoned cuffs and a rounded hem slightly longer at the back,amplio,fluida,alto,larga,unknown,delicado,unknown
10823,291,543352007,543352,Jules,upper body,collarless satin blouse with concealed buttons down the front long sleeves with wide buttoned cuffs and a rounded hem slightly longer at the back,whiteblouse blouses collarless satin blouse with concealed buttons down the front long sleeves with wide buttoned cuffs and a rounded hem slightly longer at the back,amplio,fluida,alto,larga,unknown,delicado,unknown
10941,292,544531002,544531,Sasha top,upper body,top in woven fabric with wide straps that tie at the shoulders a concealed zip in the side and a wide flounce at the hem lined,whitevest top blouses top in woven fabric with wide straps that tie at the shoulders a concealed zip in the side and a wide flounce at the hem lined,amplio,media,alto,tirantes,unknown,woven,unknown
10942,293,544531004,544531,Sasha top,upper body,top in woven fabric with wide straps that tie at the shoulders a concealed zip in the side and a wide flounce at the hem lined,bluevest top blouses top in woven fabric with wide straps that tie at the shoulders a concealed zip in the side and a wide flounce at the hem lined,amplio,media,alto,tirantes,unknown,woven,unknown
10943,294,544547001,544547,Birdie,upper body,loose fitting jersey top with a v neck at the front and short sleeves,whitet shirt jersey basic loose fitting jersey top with a v neck at the front and short sleeves,amplio,media,unknown,corta,v,knit,alarga
10944,295,544547004,544547,Birdie,upper body,loose fitting jersey top with a v neck at the front and short sleeves,blackt shirt jersey basic loose fitting jersey top with a v neck at the front and short sleeves,amplio,media,unknown,corta,v,knit,alarga
10969,296,544718001,544718,Tauros tanktop,upper body,fitted top in a sturdy rib knit with a slight sheen v neck and loose knit sections front and back,blackvest top knitwear fitted top in a sturdy rib knit with a slight sheen v neck and loose knit sections front and back,amplio,rigida,bajo,unknown,v,knit,alarga
11014,297,544915002,544915,Jaques polo jumper,upper body,turtle neck jumper knitted in a cashmere blend with dropped shoulders and wide sleeves with asymmetric cuffs,brownsweater knitwear turtle neck jumper knitted in a cashmere blend with dropped shoulders and wide sleeves with asymmetric cuffs,amplio,unknown,alto,voluminosa,asimetrico,wool,horizontal
11015,298,544917001,544917,Leon jumper,upper body,knitted jumper in a wool blend with wide raglan sleeves that taper at the cuffs,beigesweater knitwear knitted jumper in a wool blend with wide raglan sleeves that taper at the cuffs,amplio,media,alto,voluminosa,unknown,wool,unknown
11016,299,544917006,544917,Leon jumper,upper body,knitted jumper in a wool blend with wide raglan sleeves that taper at the cuffs,pinksweater knitwear knitted jumper in a wool blend with wide raglan sleeves that taper at the cuffs,amplio,media,alto,voluminosa,unknown,wool,unknown
11018,300,544949001,544949,v5: DT Sunshine tunic,upper body,wide tunic in a crinkled cotton weave with hole embroidery small stand up collar and a yoke with covered buttons at the top 3 4 length puff sleeves with covered buttons at the cuffs and a seam with a wide flounce at the hem,blackblouse dresses ladies wide tunic in a crinkled cotton weave with hole embroidery small stand up collar and a yoke with covered buttons at the top 3 4 length puff sleeves with covered buttons at the cuffs and a seam with a wide flounce at the hem,amplio,fluida,alto,voluminosa,alto,cotton,cerrado
11029,301,545106002,545106,Akiya,upper body,blouse in an lightweight cotton weave with a v neck and wrapover front low dropped shoulders and long sleeves with narrow buttoned cuffs buttons on the inside and a wide tie belt at the hem,whiteshirt blouses blouse in an lightweight cotton weave with a v neck and wrapover front low dropped shoulders and long sleeves with narrow buttoned cuffs buttons on the inside and a wide tie belt at the hem,amplio,fluida,alto,larga,v,cotton,alarga
11118,302,545715001,545715,Dany,upper body,woven cotton blouse in a shorter style with a v neck and concealed fastener at the front low dropped shoulders wide sleeves with buttoned cuffs and wide sewn on ties at the waist,whitetop blouses woven cotton blouse in a shorter style with a v neck and concealed fastener at the front low dropped shoulders wide sleeves with buttoned cuffs and wide sewn on ties at the waist,amplio,media,alto,voluminosa,v,cotton,alarga
11119,303,545715002,545715,Dany,upper body,woven cotton blouse in a shorter style with a v neck and concealed fastener at the front low dropped shoulders wide sleeves with buttoned cuffs and wide sewn on ties at the waist,redtop blouses woven cotton blouse in a shorter style with a v neck and concealed fastener at the front low dropped shoulders wide sleeves with buttoned cuffs and wide sewn on ties at the waist,amplio,media,alto,voluminosa,v,cotton,alarga
11120,304,545715004,545715,Dany,upper body,woven cotton blouse in a shorter style with a v neck and concealed fastener at the front low dropped shoulders wide sleeves with buttoned cuffs and wide sewn on ties at the waist,bluetop blouses woven cotton blouse in a shorter style with a v neck and concealed fastener at the front low dropped shoulders wide sleeves with buttoned cuffs and wide sewn on ties at the waist,amplio,media,alto,voluminosa,v,cotton,alarga
11126,305,545827002,545827,Onix cashmere jumper,upper body,oversized jumper in a soft fine cashmere knit with long raglan sleeves and ribbing around the neckline cuffs and hem,beigesweater knitwear oversized jumper in a soft fine cashmere knit with long raglan sleeves and ribbing around the neckline cuffs and hem,amplio,fluida,alto,voluminosa,unknown,wool,unknown
11129,306,545855001,545855,Serafina top,upper body,fitted off the shoulder top in sturdy jersey with a denim feel wide flounce at the top and a concealed zip in one side,whitetop jersey fancy fitted off the shoulder top in sturdy jersey with a denim feel wide flounce at the top and a concealed zip in one side,amplio,rigida,alto,unknown,strapless,denim,horizontal
11153,307,546002004,546002,Astrid LS,upper body,fitted top in cotton jersey with long sleeves and overlocked edges at the cuffs and hem,pinkt shirt jersey fancy fitted top in cotton jersey with long sleeves and overlocked edges at the cuffs and hem,ajustado,media,bajo,larga,redondo,cotton,cerrado
11154,308,546002005,546002,Astrid LS,upper body,fitted top in cotton jersey with long sleeves and overlocked edges at the cuffs and hem,blackt shirt jersey fancy fitted top in cotton jersey with long sleeves and overlocked edges at the cuffs and hem,ajustado,media,bajo,larga,redondo,cotton,cerrado
11155,309,546002006,546002,Astrid LS,upper body,fitted top in cotton jersey with long sleeves and overlocked edges at the cuffs and hem,redt shirt jersey fancy fitted top in cotton jersey with long sleeves and overlocked edges at the cuffs and hem,ajustado,media,bajo,larga,redondo,cotton,cerrado
11241,310,546662001,546662,Meadow,upper body,straight cut wide blouse in satin with a sheen boat neck dropped shoulders and long drawstring sleeves,beigeblouse blouses straight cut wide blouse in satin with a sheen boat neck dropped shoulders and long drawstring sleeves,amplio,fluida,alto,unknown,barco,delicado,horizontal
11243,311,546666003,546666,Vega,upper body,blouse in woven fabric with a small stand up collar concealed zip at the neck and long sleeves with wide turned up cuffs with covered buttons,pinkblouse blouses blouse in woven fabric with a small stand up collar concealed zip at the neck and long sleeves with wide turned up cuffs with covered buttons,amplio,media,alto,larga,alto,woven,cerrado
11322,312,547248001,547248,Pheobe,upper body,jumper in a soft fine knit containing some wool with a ribbed turtle neck and decorative seam front and back long dolman sleeves and ribbing at the cuffs and hem,blacksweater knitwear jumper in a soft fine knit containing some wool with a ribbed turtle neck and decorative seam front and back long dolman sleeves and ribbing at the cuffs and hem,amplio,fluida,alto,voluminosa,alto,wool,cerrado
11323,313,547248002,547248,Pheobe,upper body,jumper in a soft fine knit containing some wool with a ribbed turtle neck and decorative seam front and back long dolman sleeves and ribbing at the cuffs and hem,whitesweater knitwear jumper in a soft fine knit containing some wool with a ribbed turtle neck and decorative seam front and back long dolman sleeves and ribbing at the cuffs and hem,amplio,fluida,alto,voluminosa,alto,wool,cerrado
11543,314,548206002,548206,Woo,upper body,longer jumper in a soft rib knit containing some wool with dropped shoulders long wide sleeves with hole knitted details at the cuffs and wide ribbing around the neckline,greysweater knitwear longer jumper in a soft rib knit containing some wool with dropped shoulders long wide sleeves with hole knitted details at the cuffs and wide ribbing around the neckline,amplio,fluida,alto,voluminosa,unknown,wool,unknown
11550,315,548352006,548352,Nils shirt,upper body,shirt in mulberry silk with a collar buttons down the front long sleeves with wide buttoned cuffs and a rounded hem,pinkblouse unknown shirt in mulberry silk with a collar buttons down the front long sleeves with wide buttoned cuffs and a rounded hem,amplio,fluida,alto,larga,alto,delicado,cerrado
11631,316,548869002,548869,Zazza blouse,upper body,wide checked blouse in soft viscose flannel with a v neck and long wide raglan sleeves with buttoned cuffs rounded hem longer at the back,blackblouse blouses wide checked blouse in soft viscose flannel with a v neck and long wide raglan sleeves with buttoned cuffs rounded hem longer at the back,amplio,fluida,alto,voluminosa,v,sintetico,alarga
11703,317,549354001,549354,Snowflake,upper body,straight wide jumper in a soft rib knit containing glittery threads with dropped shoulders and long sleeves with sewn in turn ups,orangesweater knitwear straight wide jumper in a soft rib knit containing glittery threads with dropped shoulders and long sleeves with sewn in turn ups,amplio,fluida,alto,larga,unknown,knit,unknown
11799,318,549855002,549855,Kima,upper body,off the shoulder blouse in a cotton weave with wide elastication at the back opening with a wide tie at the top buttons down the front and long cuffed sleeves,whiteblouse blouses off the shoulder blouse in a cotton weave with wide elastication at the back opening with a wide tie at the top buttons down the front and long cuffed sleeves,amplio,media,alto,unknown,strapless,cotton,horizontal
11800,319,549855003,549855,Kima,upper body,off the shoulder blouse in a cotton weave with wide elastication at the back opening with a wide tie at the top buttons down the front and long cuffed sleeves,pinkblouse blouses off the shoulder blouse in a cotton weave with wide elastication at the back opening with a wide tie at the top buttons down the front and long cuffed sleeves,amplio,media,alto,unknown,strapless,cotton,horizontal
12045,320,551238002,551238,LUCY LUI v,upper body,top in soft light sweatshirt fabric with a wide v neck at the front long raglan sleeves and ribbing at the cuffs and hem,greysweater jersey fancy top in soft light sweatshirt fabric with a wide v neck at the front long raglan sleeves and ribbing at the cuffs and hem,amplio,fluida,alto,voluminosa,v,knit,alarga
12046,321,551255001,551255,Sakana,upper body,blouse in a woven cotton blend with pleated details pleated stand up collar that continues down the button band partly concealed buttons at the top and a seam at the waist wide smocking and a pleated flounce at the cuffs and hem,blueshirt blouses blouse in a woven cotton blend with pleated details pleated stand up collar that continues down the button band partly concealed buttons at the top and a seam at the waist wide smocking and a pleated flounce at the cuffs and hem,amplio,media,alto,unknown,alto,cotton,cerrado
12047,322,551257001,551257,Louisa,upper body,blouse in a cotton weave with pleats at the top and down the sleeves and a visible zip at the back short raglan sleeves with wide elastication and a rounded hem slightly longer at the back,blacktop blouses blouse in a cotton weave with pleats at the top and down the sleeves and a visible zip at the back short raglan sleeves with wide elastication and a rounded hem slightly longer at the back,amplio,media,alto,voluminosa,unknown,cotton,unknown
12048,323,551257002,551257,Louisa,upper body,blouse in a cotton weave with pleats at the top and down the sleeves and a visible zip at the back short raglan sleeves with wide elastication and a rounded hem slightly longer at the back,bluetop blouses blouse in a cotton weave with pleats at the top and down the sleeves and a visible zip at the back short raglan sleeves with wide elastication and a rounded hem slightly longer at the back,amplio,media,alto,voluminosa,unknown,cotton,unknown
12049,324,551257008,551257,Louisa,upper body,blouse in a cotton weave with pleats at the top and down the sleeves and a visible zip at the back short raglan sleeves with wide elastication and a rounded hem slightly longer at the back,whitetop blouses blouse in a cotton weave with pleats at the top and down the sleeves and a visible zip at the back short raglan sleeves with wide elastication and a rounded hem slightly longer at the back,amplio,media,alto,voluminosa,unknown,cotton,unknown
12050,325,551257009,551257,Louisa,upper body,blouse in a cotton weave with pleats at the top and down the sleeves and a visible zip at the back short raglan sleeves with wide elastication and a rounded hem slightly longer at the back,redtop blouses blouse in a cotton weave with pleats at the top and down the sleeves and a visible zip at the back short raglan sleeves with wide elastication and a rounded hem slightly longer at the back,amplio,media,alto,voluminosa,unknown,cotton,unknown
12125,326,551694001,551694,Grande,upper body,jumper knitted in a soft mohair blend with wide ribbing around the neckline low dropped shoulders and long puff sleeves with ribbed cuffs,beigesweater knitwear jumper knitted in a soft mohair blend with wide ribbing around the neckline low dropped shoulders and long puff sleeves with ribbed cuffs,amplio,fluida,alto,voluminosa,unknown,knit,unknown
12126,327,551694002,551694,Grande,upper body,jumper knitted in a soft mohair blend with wide ribbing around the neckline low dropped shoulders and long puff sleeves with ribbed cuffs,greensweater knitwear jumper knitted in a soft mohair blend with wide ribbing around the neckline low dropped shoulders and long puff sleeves with ribbed cuffs,amplio,fluida,alto,voluminosa,unknown,knit,unknown
12295,328,552604001,552604,Bug jumper,upper body,oversized jumper in a soft wool and mohair blend knit with low dropped shoulders and wide puff sleeves with narrow cuffs,blacksweater knitwear oversized jumper in a soft wool and mohair blend knit with low dropped shoulders and wide puff sleeves with narrow cuffs,amplio,fluida,alto,voluminosa,unknown,wool,unknown
12296,329,552604004,552604,Bug jumper,upper body,oversized jumper in a soft wool and mohair blend knit with low dropped shoulders and wide puff sleeves with narrow cuffs,beigesweater knitwear oversized jumper in a soft wool and mohair blend knit with low dropped shoulders and wide puff sleeves with narrow cuffs,amplio,fluida,alto,voluminosa,unknown,wool,unknown
12297,330,552604007,552604,Bug jumper,upper body,oversized jumper in a soft wool and mohair blend knit with low dropped shoulders and wide puff sleeves with narrow cuffs,greensweater knitwear oversized jumper in a soft wool and mohair blend knit with low dropped shoulders and wide puff sleeves with narrow cuffs,amplio,fluida,alto,voluminosa,unknown,wool,unknown
12298,331,552604009,552604,Bug jumper,upper body,oversized jumper in a soft wool and mohair blend knit with low dropped shoulders and wide puff sleeves with narrow cuffs,greysweater knitwear oversized jumper in a soft wool and mohair blend knit with low dropped shoulders and wide puff sleeves with narrow cuffs,amplio,fluida,alto,voluminosa,unknown,wool,unknown
12378,332,553003001,553003,vanessa tank,upper body,sleeveless top in jersey with a shimmering finish slightly deeper neckline and raw edges around the neckline and armholes,metalvest top dresses ladies sleeveless top in jersey with a shimmering finish slightly deeper neckline and raw edges around the neckline and armholes,unknown,media,medio,sin_mangas,profundo,knit,alarga
12426,333,553396002,553396,WALLIS V-NECK,upper body,wide sweatshirt in soft velour with a v neck low dropped shoulders and long sleeves ribbing at the neckline cuffs and hem longer at the back,greysweater jersey fancy wide sweatshirt in soft velour with a v neck low dropped shoulders and long sleeves ribbing at the neckline cuffs and hem longer at the back,amplio,fluida,alto,larga,v,knit,alarga
12556,334,554056002,554056,TYRA HOOD EMBR,upper body,wide hooded top in sweatshirt fabric with embroidered appliques and a drawstring at the top low dropped shoulders long sleeves with sewn in turn ups and a raw edge hem soft brushed inside,greyhoodie jersey fancy wide hooded top in sweatshirt fabric with embroidered appliques and a drawstring at the top low dropped shoulders long sleeves with sewn in turn ups and a raw edge hem soft brushed inside,amplio,fluida,alto,larga,unknown,knit,unknown
12577,335,554208001,554208,Beech,upper body,top in semi transparent jersey with long wide sleeves with smocking and a flounce at the cuffs and ribbing around the neckline and hem,blacksweater knitwear top in semi transparent jersey with long wide sleeves with smocking and a flounce at the cuffs and ribbing around the neckline and hem,amplio,media,alto,voluminosa,unknown,knit,unknown
12578,336,554208003,554208,Beech,upper body,top in semi transparent jersey with long wide sleeves with smocking and a flounce at the cuffs and ribbing around the neckline and hem,undefinedsweater knitwear top in semi transparent jersey with long wide sleeves with smocking and a flounce at the cuffs and ribbing around the neckline and hem,amplio,media,alto,voluminosa,unknown,knit,unknown
12788,337,554772001,554772,Bob V-neck,upper body,fitted top in cotton jersey with a v neck and short sleeves,bluet shirt jersey basic fitted top in cotton jersey with a v neck and short sleeves,ajustado,media,bajo,corta,v,cotton,alarga
12789,338,554772002,554772,Bob V-neck,upper body,fitted top in cotton jersey with a v neck and short sleeves,blackt shirt jersey basic fitted top in cotton jersey with a v neck and short sleeves,ajustado,media,bajo,corta,v,cotton,alarga
12790,339,554772003,554772,Bob V-neck,upper body,fitted top in cotton jersey with a v neck and short sleeves,whitet shirt jersey basic fitted top in cotton jersey with a v neck and short sleeves,ajustado,media,bajo,corta,v,cotton,alarga
12791,340,554772004,554772,Bob V-neck,upper body,fitted top in cotton jersey with a v neck and short sleeves,redt shirt jersey basic fitted top in cotton jersey with a v neck and short sleeves,ajustado,media,bajo,corta,v,cotton,alarga
12792,341,554772013,554772,Bob V-neck,upper body,fitted top in cotton jersey with a v neck and short sleeves,greent shirt jersey basic fitted top in cotton jersey with a v neck and short sleeves,ajustado,media,bajo,corta,v,cotton,alarga
12793,342,554772014,554772,Bob V-neck,upper body,fitted top in cotton jersey with a v neck and short sleeves,oranget shirt jersey basic fitted top in cotton jersey with a v neck and short sleeves,ajustado,media,bajo,corta,v,cotton,alarga
12794,343,554772015,554772,Bob V-neck,upper body,fitted top in cotton jersey with a v neck and short sleeves,bluet shirt jersey basic fitted top in cotton jersey with a v neck and short sleeves,ajustado,media,bajo,corta,v,cotton,alarga
12795,344,554772020,554772,Bob V-neck,upper body,fitted top in cotton jersey with a v neck and short sleeves,bluet shirt jersey basic fitted top in cotton jersey with a v neck and short sleeves,ajustado,media,bajo,corta,v,cotton,alarga
12796,345,554772026,554772,Bob V-neck,upper body,fitted top in cotton jersey with a v neck and short sleeves,greyt shirt jersey basic fitted top in cotton jersey with a v neck and short sleeves,ajustado,media,bajo,corta,v,cotton,alarga
12797,346,554772031,554772,Bob V-neck,upper body,fitted top in cotton jersey with a v neck and short sleeves,blackt shirt jersey basic fitted top in cotton jersey with a v neck and short sleeves,ajustado,media,bajo,corta,v,cotton,alarga
12798,347,554772034,554772,Bob V-neck,upper body,fitted top in cotton jersey with a v neck and short sleeves,whitet shirt jersey basic fitted top in cotton jersey with a v neck and short sleeves,ajustado,media,bajo,corta,v,cotton,alarga
12799,348,554772041,554772,Bob V-neck,upper body,fitted top in cotton jersey with a v neck and short sleeves,bluet shirt jersey basic fitted top in cotton jersey with a v neck and short sleeves,ajustado,media,bajo,corta,v,cotton,alarga
12849,349,554950003,554950,Make the boys wink deco,upper body,wide jumper in a soft rib knit with sequined embroidery on the front low dropped shoulders and long sleeves slightly longer at the back,whitesweater knitwear wide jumper in a soft rib knit with sequined embroidery on the front low dropped shoulders and long sleeves slightly longer at the back,amplio,fluida,alto,larga,unknown,knit,unknown
12872,350,555218005,555218,CSP Trenton,upper body,wide top in sturdy jersey with low dropped shoulders and short sleeves with a wide flounce,pinksweater jersey fancy wide top in sturdy jersey with low dropped shoulders and short sleeves with a wide flounce,amplio,rigida,alto,corta,unknown,knit,unknown
12966,351,555627001,555627,Zorn sweater,upper body,oversized top in sweatshirt fabric with zips in the sides low dropped shoulders long puff sleeves and ribbing around the neckline cuffs and hem soft brushed inside,greysweater jersey fancy oversized top in sweatshirt fabric with zips in the sides low dropped shoulders long puff sleeves and ribbing around the neckline cuffs and hem soft brushed inside,amplio,fluida,alto,voluminosa,unknown,knit,unknown
12975,352,555686001,555686,Diva,upper body,wide off the shoulder blouse in woven fabric with elastication at the back and short puff sleeves in a double layer with narrow concealed elastic at the cuffs,whitetop blouses wide off the shoulder blouse in woven fabric with elastication at the back and short puff sleeves in a double layer with narrow concealed elastic at the cuffs,amplio,media,alto,voluminosa,strapless,woven,horizontal
12976,353,555686003,555686,Diva,upper body,wide off the shoulder blouse in woven fabric with elastication at the back and short puff sleeves in a double layer with narrow concealed elastic at the cuffs,whitetop blouses wide off the shoulder blouse in woven fabric with elastication at the back and short puff sleeves in a double layer with narrow concealed elastic at the cuffs,amplio,media,alto,voluminosa,strapless,woven,horizontal
13037,354,556138001,556138,Ayyan,upper body,fitted top in velour with a yoke and long sleeves in mesh small stand up collar and an opening with buttons at the back of the neck,blacktop jersey fancy fitted top in velour with a yoke and long sleeves in mesh small stand up collar and an opening with buttons at the back of the neck,ajustado,fluida,bajo,larga,alto,knit,cerrado
13063,355,556379003,556379,Lidiya,upper body,v neck blouse in woven fabric with long sleeves with wide flared cuffs with a slit and a rounded hem with slits in the sides,whiteblouse blouses v neck blouse in woven fabric with long sleeves with wide flared cuffs with a slit and a rounded hem with slits in the sides,amplio,media,alto,larga,v,woven,alarga
13072,356,556420001,556420,Hotel,upper body,jumper in a soft textured knit cotton blend containing glittery threads dropped shoulders long wide sleeves and wide ribbing around the neckline and cuffs,turquoisesweater knitwear jumper in a soft textured knit cotton blend containing glittery threads dropped shoulders long wide sleeves and wide ribbing around the neckline and cuffs,amplio,fluida,alto,voluminosa,unknown,cotton,unknown
13073,357,556420002,556420,Hotel,upper body,jumper in a soft textured knit cotton blend containing glittery threads dropped shoulders long wide sleeves and wide ribbing around the neckline and cuffs,brownsweater knitwear jumper in a soft textured knit cotton blend containing glittery threads dropped shoulders long wide sleeves and wide ribbing around the neckline and cuffs,amplio,fluida,alto,voluminosa,unknown,cotton,unknown
13454,358,558410002,558410,Mars,upper body,jumper in a soft loose knit with dropped shoulders long wide sleeves and ribbing around the neckline cuffs and hem,orangesweater knitwear jumper in a soft loose knit with dropped shoulders long wide sleeves and ribbing around the neckline cuffs and hem,amplio,fluida,alto,voluminosa,unknown,knit,unknown
13455,359,558410006,558410,Mars,upper body,jumper in a soft loose knit with dropped shoulders long wide sleeves and ribbing around the neckline cuffs and hem,redsweater knitwear jumper in a soft loose knit with dropped shoulders long wide sleeves and ribbing around the neckline cuffs and hem,amplio,fluida,alto,voluminosa,unknown,knit,unknown
13477,360,558499004,558499,Monday top,upper body,straight cut blouse in a cotton weave with a slight sheen concealed zip at the back and long sleeves with a seam at the cuff and sturdy wide flounce,pinkshirt blouses straight cut blouse in a cotton weave with a slight sheen concealed zip at the back and long sleeves with a seam at the cuff and sturdy wide flounce,amplio,rigida,alto,larga,unknown,cotton,unknown
13670,361,559426001,559426,Brea blouse,upper body,wide v neck blouse in a viscose weave with short cap sleeves and a rounded hem slightly longer at the back,blueblouse blouses wide v neck blouse in a viscose weave with short cap sleeves and a rounded hem slightly longer at the back,amplio,fluida,alto,unknown,v,sintetico,alarga
13671,362,559426002,559426,Brea blouse,upper body,wide v neck blouse in a viscose weave with short cap sleeves and a rounded hem slightly longer at the back,greenblouse blouses wide v neck blouse in a viscose weave with short cap sleeves and a rounded hem slightly longer at the back,amplio,fluida,alto,unknown,v,sintetico,alarga
13672,363,559426003,559426,Brea blouse,upper body,wide v neck blouse in a viscose weave with short cap sleeves and a rounded hem slightly longer at the back,whiteblouse blouses wide v neck blouse in a viscose weave with short cap sleeves and a rounded hem slightly longer at the back,amplio,fluida,alto,unknown,v,sintetico,alarga
13673,364,559426006,559426,Brea blouse,upper body,wide v neck blouse in a viscose weave with short cap sleeves and a rounded hem slightly longer at the back,lilac purpleblouse blouses wide v neck blouse in a viscose weave with short cap sleeves and a rounded hem slightly longer at the back,amplio,fluida,alto,unknown,v,sintetico,alarga
13674,365,559426008,559426,Brea blouse,upper body,wide v neck blouse in a viscose weave with short cap sleeves and a rounded hem slightly longer at the back,blueblouse blouses wide v neck blouse in a viscose weave with short cap sleeves and a rounded hem slightly longer at the back,amplio,fluida,alto,unknown,v,sintetico,alarga
13683,366,559501001,559501,Shazam silk shirt,upper body,shirt in soft light silk with a collar buttons down the front a yoke with a pleat at the back and long sleeves with flared cuffs with a tie,redshirt blouses shirt in soft light silk with a collar buttons down the front a yoke with a pleat at the back and long sleeves with flared cuffs with a tie,amplio,fluida,alto,larga,alto,delicado,cerrado
13726,367,559628004,559628,Fred jumper,upper body,turtle neck jumper in a rib knit cotton blend with dropped shoulders and wide sleeves with narrow ribbing at the cuffs,pinksweater knitwear turtle neck jumper in a rib knit cotton blend with dropped shoulders and wide sleeves with narrow ribbing at the cuffs,amplio,media,alto,voluminosa,alto,cotton,cerrado
13778,368,559669001,559669,Sculpture,upper body,blouse in a sturdy cotton weave with a deep v neck and low dropped shoulders pleats and a wide elasticated seam at the waist long wide sleeves with a gathered section and wide double buttoned cuffs and a flare to the hem with an opening at the front,whiteblouse blouses blouse in a sturdy cotton weave with a deep v neck and low dropped shoulders pleats and a wide elasticated seam at the waist long wide sleeves with a gathered section and wide double buttoned cuffs and a flare to the hem with an opening at the front,amplio,rigida,alto,voluminosa,profundo,cotton,alarga
13779,369,559677001,559677,Caliente Top,upper body,wide top in sturdy slub jersey with short flounced sleeves,whitet shirt jersey fancy wide top in sturdy slub jersey with short flounced sleeves,amplio,rigida,alto,voluminosa,unknown,knit,unknown
13780,370,559677002,559677,Caliente Top,upper body,wide top in sturdy slub jersey with short flounced sleeves,pinkt shirt jersey fancy wide top in sturdy slub jersey with short flounced sleeves,amplio,rigida,alto,voluminosa,unknown,knit,unknown
13980,371,560954001,560954,Skylark top,upper body,blouse in an lightweight patterned weave with a small stand up collar with a tie and opening at the back and seam at the hem with a wide flounce long sleeves with a double frill at the shoulders and a drawstring and flounce at the cuffs partly lined,blackshirt blouses blouse in an lightweight patterned weave with a small stand up collar with a tie and opening at the back and seam at the hem with a wide flounce long sleeves with a double frill at the shoulders and a drawstring and flounce at the cuffs partly lined,amplio,fluida,alto,larga,alto,unknown,cerrado
13992,372,561078001,561078,Nelson top,upper body,gently tailored blouse in a cotton weave with a tie at the shoulders short puff sleeves and a concealed zip at the back,whiteblouse blouses gently tailored blouse in a cotton weave with a tie at the shoulders short puff sleeves and a concealed zip at the back,ajustado,media,alto,voluminosa,unknown,cotton,unknown
13998,373,561087001,561087,Erwing cashmere jumper new,upper body,oversized jumper in a soft fine cashmere knit with a ribbed turtle neck low dropped shoulders long sleeves and wide ribbing at the cuffs and hem,greysweater knitwear oversized jumper in a soft fine cashmere knit with a ribbed turtle neck low dropped shoulders long sleeves and wide ribbing at the cuffs and hem,amplio,fluida,alto,larga,alto,wool,cerrado
14011,374,561159001,561159,DT Vicky Blouse,upper body,short fitted blouse in a cotton weave with shaping seams deep v neck hook and eye fasteners at the front shoulder pads and short sleeves with a press stud fastening,beigeblouse special offers short fitted blouse in a cotton weave with shaping seams deep v neck hook and eye fasteners at the front shoulder pads and short sleeves with a press stud fastening,ajustado,media,bajo,corta,profundo,cotton,alarga
14019,375,561218001,561218,Puff hairy sweater,upper body,wide jumper in a soft fine knit containing some wool with dropped shoulders long sleeves and ribbing around the neckline cuffs and hem,redsweater knitwear wide jumper in a soft fine knit containing some wool with dropped shoulders long sleeves and ribbing around the neckline cuffs and hem,amplio,fluida,alto,larga,unknown,wool,unknown
14020,376,561218002,561218,Puff hairy sweater,upper body,wide jumper in a soft fine knit containing some wool with dropped shoulders long sleeves and ribbing around the neckline cuffs and hem,bluesweater knitwear wide jumper in a soft fine knit containing some wool with dropped shoulders long sleeves and ribbing around the neckline cuffs and hem,amplio,fluida,alto,larga,unknown,wool,unknown
14021,377,561218003,561218,Puff hairy sweater,upper body,wide jumper in a soft fine knit containing some wool with dropped shoulders long sleeves and ribbing around the neckline cuffs and hem,blacksweater knitwear wide jumper in a soft fine knit containing some wool with dropped shoulders long sleeves and ribbing around the neckline cuffs and hem,amplio,fluida,alto,larga,unknown,wool,unknown
14022,378,561222001,561222,Moana rollerneck,upper body,shorter double knitted jumper in a soft wool blend with a turtle neck low dropped shoulders and long wide sleeves,bluesweater knitwear shorter double knitted jumper in a soft wool blend with a turtle neck low dropped shoulders and long wide sleeves,amplio,fluida,alto,voluminosa,alto,wool,cerrado
